"interest_rate","loan_year"
"12.0619640618471","2008"
"12.4372467335731","2009"
"11.9852676078808","2010"
"12.2237461442832","2011"
"13.6376759045878","2012"
"14.5318131289229","2013"
"13.7712586311684","2014"
"12.6017137463353","2015"
