"purpose","count"
"debt_consolidation","88933"
"credit_card","20881"
"other","10125"
"home_improvement","7581"
"small_business","2564"
"major_purchase","2473"
"medical","1874"
"moving","1499"
"vacation","1125"
"car","1033"
"house","753"
"wedding","506"
"renewable_energy","144"
"educational","52"
