"average_loan","loan_year"
"8825.42833263686","2008"
"9833.03351637947","2009"
"10528.2404083912","2010"
"12047.5035679757","2011"
"13461.7090149343","2012"
"14708.1334040785","2013"
"14870.1567930942","2014"
"15240.2858618601","2015"
