"purpose","count"
"debt_consolidation","152339"
"credit_card","51235"
"home_improvement","13762"
"other","12470"
"major_purchase","4350"
"medical","2599"
"small_business","2334"
"car","2121"
"vacation","1572"
"moving","1524"
"house","804"
"wedding","491"
"renewable_energy","144"
"educational","115"
