"purpose","count"
"debt_consolidation","73616"
"credit_card","51161"
"home_improvement","10020"
"major_purchase","3908"
"other","3693"
"car","2361"
"small_business","841"
"medical","830"
"wedding","449"
"vacation","447"
"house","386"
"moving","344"
"educational","88"
"renewable_energy","59"
