"installment","loan_year"
"278.829465106561","2008"
"329.842043173641","2009"
"303.322234984446","2010"
"338.43683946411","2011"
"421.865925384593","2012"
"452.422372139262","2013"
"442.481466075965","2014"
"441.873672188026","2015"
