"avg","issue_d"
444.104698232918,"Apr-2014"
448.384372275964,"Aug-2014"
448.360652301176,"Aug-2015"
443.305864946154,"Dec-2014"
448.537053045186,"Feb-2014"
438.789253053982,"Jul-2014"
439.749868468545,"Jul-2015"
439.049552360439,"Jun-2014"
450.983100369459,"Mar-2014"
436.928900465992,"May-2014"
432.281087251538,"Nov-2014"
504.944471830986,"Nov-2015"
434.330349122037,"Oct-2014"
444.926453930311,"Oct-2015"
445.004672826701,"Sep-2014"
453.78167696659,"Sep-2015"
