"addr_state","No of loans"
"AK",111
"AL",765
"AR",456
"AZ",1168
"CA",6967
"CO",820
"CT",601
"DC",91
"DE",152
"FL",3581
"GA",1492
"HI",259
"IL",1784
"IN",917
"KS",337
"KY",513
"LA",673
"MA",1054
"MD",1199
"ME",2
"MI",1329
"MN",910
"MO",872
"MS",351
"MT",135
"NC",1360
"ND",26
"NE",111
"NH",159
"NJ",1860
"NM",312
"NV",819
"NY",4530
"OH",1791
"OK",534
"OR",457
"PA",1820
"RI",222
"SC",490
"SD",118
"TN",907
"TX",3884
"UT",334
"VA",1469
"VT",72
"WA",846
"WI",587
"WV",209
"WY",102
