"avg","issue_d"
14743.829636621,"Apr-2014"
14958.3807271181,"Aug-2014"
15474.4487497561,"Aug-2015"
15367.3789657514,"Dec-2014"
14553.7328094303,"Feb-2014"
14776.6575104074,"Jul-2014"
15187.4593976822,"Jul-2015"
14896.0285814075,"Jun-2014"
14865.9513546798,"Mar-2014"
14695.0939839782,"May-2014"
14906.4680290572,"Nov-2014"
16761.4436619718,"Nov-2015"
14742.5669752211,"Oct-2014"
15349.7227769994,"Oct-2015"
15033.393833679,"Sep-2014"
15720.3589260152,"Sep-2015"
